date,futures_price,futures_return,commodity,usd_index,interest_rate,vix,enso_oni,disaster_event_count,disaster_storm_count,disaster_fire_count,disaster_flood_count,temperature_anomaly,precipitation_anomaly,drought_index,extreme_heat_events
2010-01-31,356.5,,corn,92.44030000000001,0.06,20.643157894736845,1.5,82.0,0.0,0.0,0.0,,,,
2010-02-28,378.0,0.058559955765237426,corn,93.88668000000001,0.11,22.54,1.22,273.0,0.0,0.0,0.0,,,,
2010-03-31,345.0,-0.09134977858822779,corn,93.14987826086957,0.15,17.767391304347825,0.84,307.0,0.0,0.0,48.0,,,,
2010-04-30,366.25,0.05977174329991719,corn,92.63908636363637,0.16,17.424285714285716,0.35,232.0,0.0,0.0,95.0,,,,
2010-05-31,359.0,-0.019993771842998775,corn,95.53063999999999,0.16,31.9295,-0.17,230.0,0.0,1.0,37.0,,,,
2010-06-30,354.25,-0.013319509917488759,corn,96.06062727272727,0.12,29.916363636363634,-0.66,44.0,0.0,4.0,5.0,,,,
2010-07-31,392.75,0.10317039856494059,corn,94.45469047619048,0.16,25.565238095238094,-1.05,176.0,0.0,5.0,3.0,,,,
2010-08-31,424.5,0.07773872861567188,corn,93.68223181818183,0.16,24.74590909090909,-1.35,116.0,0.0,3.0,0.0,,,,
2010-09-30,495.75,0.15515976164850276,corn,92.76259523809524,0.15,22.517619047619046,-1.56,77.0,0.0,5.0,7.0,,,,
2010-10-31,582.0,0.16039868033153315,corn,90.22912,0.13,20.37333333333333,-1.64,85.0,0.0,0.0,0.0,,,,
2010-11-30,530.0,-0.0935934411852708,corn,90.509535,0.14,20.095714285714287,-1.64,9.0,0.0,0.0,0.0,,,,
2010-12-31,629.0,0.17125425015427354,corn,91.18347142857144,0.14,17.56954545454545,-1.54,4.0,0.0,0.0,0.0,,,,
2011-01-31,659.5,0.04735071545692815,corn,90.11122,0.15,17.3155,-1.31,10.0,0.0,0.0,10.0,,,,
2011-02-28,722.5,0.09123544782921833,corn,89.3966894736842,0.13,17.43,-1.04,235.0,0.0,6.0,3.0,,,,
2011-03-31,693.25,-0.041326735490700095,corn,88.48722608695653,0.1,20.723478260869566,-0.8,192.0,0.0,12.0,0.0,,,,
2011-04-30,754.0,0.08400168351206894,corn,86.92136666666667,0.06,16.244,-0.62,307.0,0.0,46.0,22.0,,,,
2011-05-31,747.5,-0.008658062743115202,corn,86.94640476190476,0.04,16.91142857142857,-0.46,494.0,0.0,8.0,186.0,,,,
2011-06-30,629.0,-0.17260304856440012,corn,86.94125454545454,0.04,19.153181818181817,-0.37,253.0,0.0,32.0,82.0,,,,
2011-07-31,665.5,0.056407381134725654,corn,86.31780499999999,0.04,19.2275,-0.43,247.0,0.0,128.0,2.0,,,,
2011-08-31,757.5,0.1294848995483573,corn,86.89824347826087,0.02,35.02913043478261,-0.58,522.0,0.0,15.0,69.0,,,,
2011-09-30,592.5,-0.2456726643742373,corn,89.72526666666667,0.01,36.53,-0.79,326.0,0.0,85.0,80.0,,,,
2011-10-31,647.0,0.08799542149161432,corn,90.60984499999999,0.02,32.829047619047614,-0.96,32.0,0.0,1.0,7.0,,,,
2011-11-30,601.25,-0.07333547308093014,corn,91.26488,0.01,31.94190476190476,-1.02,65.0,0.0,1.0,6.0,,,,
2011-12-31,646.5,0.07256237679194122,corn,92.20559047619047,0.01,25.047619047619047,-0.92,7.0,0.0,0.0,0.0,,,,
2012-01-31,639.0,-0.011668743834377437,corn,91.646265,0.03,20.228,-0.72,7.0,0.0,1.0,0.0,,,,
2012-02-29,656.5,0.027018239365316,corn,89.9605,0.09,18.4205,-0.57,5.0,0.0,0.0,0.0,,,,
2012-03-31,644.0,-0.019223967638496653,corn,90.51121363636364,0.08,16.167272727272728,-0.46,77.0,0.0,1.0,12.0,,,,
2012-04-30,660.25,0.024919825072887924,corn,90.81560952380953,0.08,17.823,-0.36,3.0,0.0,1.0,0.0,,,,
2012-05-31,555.25,-0.17320008840270518,corn,92.49278636363637,0.09,21.001818181818184,-0.17,17.0,0.0,3.0,0.0,,,,
2012-06-30,672.5,0.1915836487014575,corn,93.88086666666666,0.09,21.13095238095238,0.06,172.0,0.0,20.0,0.0,,,,
2012-07-31,806.5,0.18170178608926957,corn,93.40616666666668,0.1,17.565238095238094,0.3,177.0,0.0,5.0,0.0,,,,
2012-08-31,802.75,-0.004660564595640793,corn,92.5282652173913,0.1,15.689565217391305,0.41,247.0,0.0,21.0,5.0,,,,
2012-09-30,756.25,-0.05967132362457139,corn,90.98020000000001,0.11,15.284736842105264,0.41,26.0,0.0,15.0,0.0,,,,
2012-10-31,755.75,-0.0006613756854845221,corn,90.75663,0.1,16.276190476190475,0.31,464.0,0.0,2.0,0.0,,,,
2012-11-30,748.0,-0.0103076556850894,corn,91.47508,0.09,16.701904761904764,0.13,90.0,0.0,0.0,1.0,,,,
2012-12-31,698.25,-0.06882577314919125,corn,90.88039,0.07,17.307,-0.1,7.0,0.0,0.0,0.0,,,,
2013-01-31,740.5,0.05874842888256726,corn,90.82551428571429,0.07,13.505238095238095,-0.29,28.0,0.0,0.0,0.0,,,,
2013-02-28,719.5,-0.028769107380431258,corn,91.55087368421053,0.1,14.072631578947368,-0.29,27.0,0.0,0.0,0.0,,,,
2013-03-31,695.25,-0.03428503321334819,corn,92.41318,0.09,13.0315,-0.21,30.0,0.0,0.0,0.0,,,,
2013-04-30,683.25,-0.01741066830589677,corn,92.04782272727272,0.06,13.967272727272727,-0.19,66.0,0.0,0.0,6.0,,,,
2013-05-31,662.0,-0.031595268871169147,corn,92.52896818181819,0.04,13.493636363636364,-0.27,125.0,0.0,2.0,84.0,,,,
2013-06-30,679.25,0.025723692369449047,corn,93.283615,0.05,17.2715,-0.34,51.0,0.0,9.0,25.0,,,,
2013-07-31,499.0,-0.30838315255493853,corn,93.87238636363637,0.04,13.974545454545455,-0.35,171.0,0.0,10.0,33.0,,,,
2013-08-31,495.0,-0.008048333182828493,corn,93.71488636363637,0.04,14.21,-0.28,46.0,0.0,15.0,7.0,,,,
2013-09-30,441.5,-0.11437974252467598,corn,93.470565,0.02,14.692000000000002,-0.21,84.0,0.0,1.0,47.0,,,,
2013-10-31,428.25,-0.030470882839784608,corn,92.49926818181818,0.05,15.407826086956522,-0.13,97.0,0.0,0.0,32.0,,,,
2013-11-30,415.25,-0.030826388710825547,corn,93.37366842105263,0.07,12.924000000000001,-0.1,41.0,0.0,0.0,0.0,,,,
2013-12-31,422.0,0.016124565542607883,corn,93.53402,0.07,14.192380952380953,-0.15,5.0,0.0,1.0,0.0,,,,
2014-01-31,434.0,0.028039220064393078,corn,94.46474761904763,0.04,14.24095238095238,-0.28,40.0,0.0,1.0,1.0,,,,
2014-02-28,457.5,0.052732350615170454,corn,94.64558235294118,0.05,15.47,-0.32,144.0,0.0,0.0,0.0,,,,
2014-03-31,502.0,0.0928232349761533,corn,94.44082105263158,0.05,14.836666666666666,-0.14,77.0,0.0,0.0,0.0,,,,
2014-04-30,514.0,0.023623145763436604,corn,93.99555,0.03,14.19809523809524,0.15,91.0,0.0,0.0,15.0,,,,
2014-05-31,465.75,-0.09857425597346747,corn,93.67002857142857,0.03,12.475238095238096,0.31,34.0,0.0,4.0,0.0,,,,
2014-06-30,424.25,-0.09332610536736219,corn,93.82740476190477,0.04,11.541428571428572,0.23,14.0,0.0,1.0,7.0,,,,
2014-07-31,357.0,-0.17258712233469709,corn,93.6038590909091,0.03,12.296363636363635,0.1,137.0,0.0,13.0,80.0,,,,
2014-08-31,359.0,0.005586606708639863,corn,94.58080952380952,0.03,13.491904761904761,0.11,73.0,0.0,16.0,10.0,,,,
2014-09-30,320.75,-0.11266038499253295,corn,96.12086666666667,0.02,13.466666666666667,0.28,22.0,0.0,5.0,3.0,,,,
2014-10-31,376.75,0.1609198340108593,corn,97.43960454545454,0.02,18.058695652173913,0.54,43.0,0.0,1.0,0.0,,,,
2014-11-30,375.75,-0.0026578088735211836,corn,99.11468888888889,0.02,13.413157894736841,0.71,5.0,0.0,1.0,3.0,,,,
2014-12-31,397.0,0.05501225205410698,corn,101.44413333333333,0.03,16.292272727272728,0.77,9.0,0.0,0.0,0.0,,,,
2015-01-31,370.0,-0.07043327504892094,corn,103.76074000000001,0.03,19.1195,0.69,2.0,0.0,0.0,1.0,,,,
2015-02-28,384.5,0.03844078330742917,corn,105.16853888888889,0.02,15.90421052631579,0.61,10.0,0.0,0.0,0.0,,,,
2015-03-31,376.25,-0.021689972882613873,corn,107.36473809523811,0.03,14.812727272727273,0.65,39.0,0.0,0.0,0.0,,,,
2015-04-30,362.5,-0.037229341768355795,corn,106.35228181818182,0.02,13.494761904761905,0.81,121.0,0.0,0.0,0.0,,,,
2015-05-31,351.5,-0.030814763044009652,corn,105.40651499999998,0.02,13.3385,1.02,290.0,0.0,0.0,108.0,,,,
2015-06-30,414.0,0.16365626257459454,corn,106.17898636363635,0.02,14.339545454545457,1.25,62.0,0.0,4.0,0.0,,,,
2015-07-31,371.0,-0.10966391121787922,corn,108.12356818181819,0.03,14.352727272727272,1.57,117.0,0.0,8.0,26.0,,,,
2015-08-31,363.75,-0.019735244121732443,corn,109.97674761904761,0.07,19.42809523809524,1.91,162.0,0.0,39.0,0.0,,,,
2015-09-30,387.75,0.06389398357094578,corn,110.85125714285715,0.02,24.377142857142857,2.21,9.0,0.0,9.0,0.0,,,,
2015-10-31,382.25,-0.014285957247476944,corn,109.90357142857142,0.02,16.789545454545454,2.47,101.0,0.0,11.0,36.0,,,,
2015-11-30,365.0,-0.04617749122667991,corn,111.6916105263158,0.12,16.21,2.64,24.0,0.0,2.0,0.0,,,,
2015-12-31,358.75,-0.01727158650866034,corn,112.7857409090909,0.23,18.025454545454547,2.75,26.0,0.0,0.0,0.0,,,,
2016-01-31,372.0,0.03626808719931507,corn,115.2343875,0.26,23.717894736842105,2.63,195.0,0.0,1.0,126.0,,,,
2016-02-29,353.5,-0.051010368936518447,corn,114.281735,0.31,22.517,2.28,201.0,0.0,1.0,17.0,,,,
2016-03-31,351.5,-0.005673774085908079,corn,111.89339130434782,0.29,15.84909090909091,1.71,180.0,0.0,2.0,87.0,,,,
2016-04-30,390.25,0.10457784814482185,corn,110.01707619047619,0.23,14.300476190476191,1.05,30.0,0.0,3.0,27.0,,,,
2016-05-31,404.75,0.03648203316220311,corn,111.14051428571429,0.27,14.852857142857141,0.49,17.0,0.0,0.0,0.0,,,,
2016-06-30,358.75,-0.1206438254839135,corn,111.55962727272727,0.27,17.774545454545457,0.0,73.0,0.0,9.0,64.0,,,,
2016-07-31,334.5,-0.06998888750554766,corn,112.47729,0.3,13.1585,-0.31,18.0,0.0,10.0,8.0,,,,
2016-08-31,301.5,-0.10386686340104312,corn,111.43836956521739,0.3,12.399565217391304,-0.5,69.0,0.0,13.0,26.0,,,,
2016-09-30,336.75,0.11057079912323342,corn,112.31686190476191,0.29,14.21952380952381,-0.58,35.0,0.0,0.0,9.0,,,,
2016-10-31,354.75,0.05207250074967806,corn,113.474695,0.33,14.585238095238097,-0.64,333.0,0.0,5.0,29.0,,,,
2016-11-30,336.75,-0.05207250074967806,corn,116.107515,0.45,15.236190476190476,-0.6,38.0,0.0,18.0,10.0,,,,
2016-12-31,352.0,0.04429036030762301,corn,117.90482857142858,0.51,12.472380952380954,-0.45,5.0,0.0,1.0,4.0,,,,
2017-01-31,359.75,0.021778170169380218,corn,117.78577894736841,0.51,11.6085,-0.19,36.0,0.0,0.0,0.0,,,,
2017-02-28,366.75,0.01927107125561367,corn,116.12038947368421,0.52,11.530526315789475,-0.02,108.0,0.0,2.0,0.0,,,,
2017-03-31,364.25,-0.006839971947776746,corn,115.65584782608695,0.74,11.89782608695652,0.18,46.0,0.0,16.0,22.0,,,,
2017-04-30,358.0,-0.017307458674613585,corn,114.769795,0.8,13.136315789473684,0.31,75.0,0.0,3.0,72.0,,,,
2017-05-31,372.0,0.03836086787244586,corn,114.25913181818181,0.89,10.862272727272726,0.4,44.0,0.0,4.0,9.0,,,,
2017-06-30,370.5,-0.004040409537005019,corn,112.76027272727273,0.98,10.513636363636364,0.39,145.0,0.0,5.0,55.0,,,,
2017-07-31,370.75,0.0006745362819007283,corn,111.060555,1.07,10.2645,0.19,63.0,0.0,8.0,11.0,,,,
2017-08-31,342.25,-0.07998651684948399,corn,109.90586086956522,1.01,11.975652173913044,-0.07,135.0,0.0,5.0,8.0,,,,
2017-09-30,355.25,0.03728030280865191,corn,108.85424499999999,1.03,10.437999999999999,-0.34,807.0,0.0,23.0,0.0,,,,
2017-10-31,345.75,-0.02710579643234201,corn,110.88917619047619,1.07,10.125454545454545,-0.6,171.0,0.0,24.0,2.0,,,,
2017-11-30,341.75,-0.01163649494080854,corn,111.163525,1.23,10.54047619047619,-0.77,24.0,0.0,0.0,8.0,,,,
2017-12-31,350.75,0.025994243378510973,corn,110.87581,1.32,10.2645,-0.86,14.0,0.0,12.0,1.0,,,,
2018-01-31,361.5,0.030188322616249152,corn,108.35677619047618,1.41,11.062380952380952,-0.77,33.0,0.0,4.0,0.0,,,,
2018-02-28,374.5,0.03532976135845445,corn,107.6500947368421,1.57,22.464736842105264,-0.71,5.0,0.0,0.0,0.0,,,,
2018-03-31,387.75,0.034768999099374476,corn,107.94717499999999,1.7,19.023809523809526,-0.57,6.0,0.0,1.0,0.0,,,,
